Murder and nonnegligent Manslaughter,Legacy rape /1,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,New Y
2,4,14,99,249,131,65,53,0
0,2,10,24,260,96,150,14,0
1,45,166,440,3199,623,1860,716,0
1,9,110,182,2533,362,1842,329,0
0,3,38,47,577,110,381,86,0
4,9,144,96,1867,337,1116,414,0
0,2,6,4,151,50,84,17,0
11,84,428,890,8496,1570,5374,1552,0
0,7,10,115,412,58,313,41,0
3,15,131,377,2280,515,1276,489,0
5,11,40,130,1725,613,868,244,0
0,2,58,79,1361,248,996,117,0
0,4,8,16,712,136,554,22,0
0,4,3,10,387,73,299,15,0
0,4,58,53,352,89,181,82,0
1,1,11,62,394,110,222,62,0
0,5,7,122,637,193,404,40,0
0,3,17,139,732,302,377,53,0
0,8,6,26,339,59,254,26,0
1,2,4,24,99,54,36,9,0
2,13,48,82,1068,261,605,202,0
23,25,283,385,9563,2304,6104,1155,0
7,16,125,154,1423,328,611,484,0
1,6,31,220,649,355,202,92,0
2,9,44,116,922,285,524,113,0
1,2,13,154,514,134,313,67,0
4,8,80,167,632,235,167,230,0
3,5,135,234,838,222,380,236,0
5,14,181,236,2046,499,1056,491,0
0,5,13,63,399,129,229,41,0
0,6,14,31,487,129,288,70,0
4,41,332,377,6934,1124,4889,921,0
1,7,66,49,1407,302,1012,93,0
0,2,17,147,704,198,484,22,0
1,0,29,68,670,179,418,73,0
0,9,28,119,1298,279,881,138,0
0,4,9,36,556,106,404,46,0
0,14,124,148,1742,326,985,431,0
1,8,86,202,2875,420,1902,553,0
0,8,23,33,850,149,585,116,0
6,31,33,227,1845,696,1134,15,0
0,3,5,26,234,62,149,23,0
4,8,5,67,699,300,399,0,0
0,3,31,31,1109,333,401,375,0
0,1,7,35,210,85,106,19,0
0,11,20,53,1081,188,848,45,0
0,8,20,68,928,127,745,56,0
0,2,2,22,191,45,124,22,0
0,2,11,49,611,75,519,17,0
1,4,15,87,516,223,197,96,0.051659549
0,6,11,18,321,114,171,36,-0.168935247
2,40,217,288,3414,742,1861,811,0.240772356
2,9,90,198,2629,408,1884,337,0.240772356
0,3,41,4,783,154,496,133,-0.137931529
2,11,142,73,2366,502,1334,530,-0.158935247
0,0,8,9,295,86,166,43,0.648084811
17,80,465,827,10809,1995,6945,1869,-0.079666954
0,8,6,23,361,113,225,23,0.01480576
1,23,187,473,2734,553,1365,816,0.052040363
4,13,69,162,1993,593,1162,238,-0.096598328
2,6,69,73,1472,382,947,143,-0.087070295
2,3,20,22,762,143,584,35,0.106571712
0,4,5,14,388,63,302,23,0.113989655
4,6,46,71,456,119,232,105,0.093931481
1,19,23,35,437,129,264,44,0.265138827
1,13,14,61,833,185,592,56,0.156530219
0,4,17,140,995,376,513,106,0.105206167
0,3,7,32,333,52,253,28,0.144553125
0,3,9,22,156,75,72,9,-0.02927423
5,15,73,90,1292,320,748,224,0.046026585
22,47,355,647,10775,2436,6941,1398,-0.080211842
6,19,101,174,1608,364,751,493,-0.132464659
3,5,19,150,531,230,191,110,0.459357436
3,14,57,100,876,244,479,153,-0.193397398
0,5,14,33,398,106,229,63,-0.302606133
2,12,83,148,629,118,262,249,0.14018756
4,12,107,196,924,192,390,342,-0.810394391
1,18,222,216,2497,542,1266,689,2.389615478
0,10,10,70,463,199,224,40,-0.523888518
0,4,14,28,506,139,309,58,-0.006371144
7,28,407,287,9542,1514,6687,1341,-0.133240802
1,2,80,50,1200,316,822,62,-0.368496375
1,7,14,118,709,206,460,43,-0.221435247
1,1,29,107,919,232,566,121,0.286001462
0,4,41,27,1460,260,1058,142,0.138148987
0,7,14,61,964,177,673,114,-0.303776453
4,20,90,122,2135,441,1233,461,-0.077051189
1,10,100,162,2943,501,1851,591,-0.028157709
2,5,24,50,929,139,694,96,-0.177436776
0,5,6,56,581,236,320,25,0.051064753
0,3,7,33,305,90,186,29,-0.242625086
2,10,6,164,725,295,424,6,0.083064753
1,3,35,31,1040,302,398,340,-0.070403137
1,1,4,38,324,99,197,28,-0.497911625
1,12,27,82,969,152,749,68,-0.124319862
